"post_id","status","meta_key","field_mpdm_rules_value","field_mpdm_visibility_value","field_mpdm_hide_value"
97185,0,"popup_settings",NULL,"%",""
100037,0,"popup_settings",NULL,"%","<front>"
100293,0,"popup_settings","user.exclude_from_campaign != 1","%",""
105808,1,"popup_settings","user.exclude_from_campaign != 1","%","%minnroast%"
99902,0,"popup_settings","user.exclude_from_campaign != 1","%","/9"
101414,0,"popup_settings","user.exclude_from_campaign != 1","%","retirement"
101203,0,"popup_settings","user.exclude_from_campaign != 1","%earth-journal%",""
100993,0,"popup_settings","user.exclude_from_campaign != 1","%environment",""
101203,0,"popup_settings","user.exclude_from_campaign != 1","%environment%",""
98574,0,"popup_settings","user.fanclubeligible == true","%","account/benefits/fan-club"
98254,0,"popup_settings","user.member != 1","%",""
98166,0,"popup_settings","user.member != 1 && user.exclude_from_campaign != 1","%",""
98253,0,"popup_settings","user.member == 1","%",""
98152,0,"popup_settings","user.member == 1 && user.exclude_from_campaign != 1","%",""
97658,0,"popup_settings","user.memberlevel == 'MinnPost Silver' || user.memberlevel == 'MinnPost Platinum' || user.memberlevel == 'MinnPost Gold'","%",""
93815,0,"popup_settings","user.partneroffereligible == 1","%",""
94228,0,"popup_settings","user.partneroffereligible == 1","%","account/benefits/partner-offers"
